TemplateKey,Nombre,Objetivo,Pestañas (tabDashboard/tabInventory/tabMovements/tabHistory/tabTransport/tabOrderlines/tabReminders),Permisos clave,Tipos de movimiento permitidos (edit),Puede anular movimientos
operario_picker,Operario picker,"Pick de inventario / movimientos básicos","Dashboard: none | Inventario: view | Movimientos: edit | Historial: view | Transporte: none | Pedidos: none | Recordatorios: none","movPicker=edit; movRecent=view; invBrowse=view",CONSUMO_DIARIO; AJUSTE; TRANSFERENCIA; STANDBY; MERMA; RETORNO,No
operario_recepcion,Operario de recepción,"Recepción de material y cola M.E obra","Dashboard: none | Inventario: none | Movimientos: edit | Historial: view | Transporte: none | Pedidos: none | Recordatorios: none","receptionsEdit=edit; cfgTabReceptions=edit; movPicker=edit",RECEPCION_MATERIAL; MAT_ELEC_OBRA; LISTA_CHEQUEO,No
operario_produccion,Operario de producción,"Producción / preparación interna","Dashboard: none | Inventario: none | Movimientos: edit | Historial: view | Transporte: none | Pedidos: none | Recordatorios: none","movPicker=edit; movRecent=view",ENVIAR_PRODUCCION; MAT_ELEC_PROD; TRANSFORMACION; DESMANTELAR; LISTA_CHEQUEO; STANDBY,No
operario_transporte,Operario de transporte,"Solo Transporte y sus dimensiones","Dashboard: none | Inventario: none | Movimientos: none | Historial: view | Transporte: edit | Pedidos: none | Recordatorios: none","trnToolbar=edit; trnMain=edit; histResults=view",N/A (no usa movimientos),No
operario_pedidos,Operario de pedidos,"Bajo stock + pedidos + compra de stock","Dashboard: view | Inventario: view | Movimientos: edit | Historial: none | Transporte: none | Pedidos: edit | Recordatorios: none","dashboardAlerts=view; ordSuggestions/edit; ordLineMutations/edit; ordBatchReceive/edit; movPicker=edit",COMPRA_STOCK,No
operario_recepcion_expedicion,Operario de recepciones y expediciones,"Recepción/expedición + soporte de transporte","Dashboard: none | Inventario: none | Movimientos: edit | Historial: view | Transporte: edit | Pedidos: none | Recordatorios: none","receptionsEdit=edit; cfgTabReceptions=edit; trnToolbar=edit; trnMain=edit; movPicker=edit",RECEPCION_MATERIAL; MAT_ELEC_OBRA; MAT_ELEC_PROD; LISTA_CHEQUEO,No
operario_consultante,Operario consultante,"Consulta amplia sin edición","Dashboard: view | Inventario: view | Movimientos: view | Historial: view | Transporte: view | Pedidos: view | Recordatorios: view","cfgActBackupExport=view; cfgTabImport=view; cfgTabReceptions=view; dashboardAlerts=view","N/A (movimientos en view, no procesa)",No
supervisor,Supervisor,"Operativa amplia (no admin)","Dashboard: edit | Inventario: edit | Movimientos: edit | Historial: edit | Transporte: edit | Pedidos: edit | Recordatorios: edit","inventoryEdit=edit; receptionsEdit=edit; orderLinesEdit=edit; movementsExport=edit; movAnnul=edit; backups/export=edit","TODOS (movType_*=edit)",Sí
