Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
18-TABC-BAC-24-02,"Tablette courbe THBAC 24 - 17 3/4"" X 23 1/16"" X 1/8"" - 1 face - Light bronze",ASSEMBLAGE,34,,,,34,B8-PROD,XX,,,N/A,,
18-5005-510-1F-02 ,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 1F - Light Bronze",FEUILLES,36,,,,0.72,BIN 1,XX,,,N/A,,
18-5005-510-2F-02 ,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 2F - Light Bronze",FEUILLES,32,,,,0.64,BIN 1,XX,,,N/A,,
18-5005-510-2F-03,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 2F - Dark Bronze",FEUILLES,4,,,,0.08,BIN 1,XX,,,N/A,,
18-5005-510-0F-01,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 0F - Mill Finish",FEUILLES,10,,,,0.2,BIN 1,XX,,,N/A,,
18-5005-510-0F-02,"Feuille Aluminium 5005 - 5,0' x 10,0' - 1/8"" - 0F - Light Bronze",FEUILLES,0,,,,0,BIN 1,XX,,,N/A,,
18-TABL-DEV-12-02,"Tablette standard - DEV12 - 11 3/5"" x 11 7/8''- Light bronze",ASSEMBLAGE,50,,,,50,B8-PROD,XX,,,N/A,,
18-TABL-DEX-12-02,"Tablette standard - DE12 - 11 9/16"" x 11 15/16''- Light bronze",ASSEMBLAGE,46,,,,46,B8-PROD,XX,,,N/A,,
18-TABL-DXX-12-02,"Tablette standard - D12 - 11 9/16"" x 11 5/8''- Light bronze",ASSEMBLAGE,23,,,,23,B8-PROD,XX,,,N/A,,
LGOIR-REVOLUTION / SPARE21,DISQUE A ABRASIF 60+,ASSEMBLAGE,100,,,,2,ARMOIRE AVEC CLE,XX,,,N/A,46093,
LGOIR-REVOLUTION / SPARE22,DISQUE A ABRASIF 36+,ASSEMBLAGE,100,,,,2,ARMOIRE AVEC CLE,XX,,,N/A,46093,
18-ANGL-202-139-01,"Quincaillerie - Angle Métal 139 degrés - 2"" x 2"" x 1/2"" - Mill Finish",QUINCAILLERIE/EXTRUSION,30,,,,30,B0X 18,XX,,,N/A,,
