Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles
18-ROSE-FCI-40-43,ROSETTE FLORALE CARRE INTERIEUR 4 PATTES GOLD,CHANTIER,188,,,450,0.41777778,BOX 12,XX,,,N/A,,
18-BLED-200-10-SE,BARRE LED 10`WARM WHITE SEMI FLEXIBLE,CHANTIER/USINE,1722,,,120,14.35,ARMOIRE DU M. ELECTRIQUE,XX,,,SEP,46119,
18-BLED-200-06-SE,"BARRE LED 6,75"" WARM WHITE SEMI FLEXIBLE",CHANTIER/USINE,1507,,,60,25.1166667,ARMOIRE DU M ELECTRIQUE,XX,,,SEP,46077,
LGOIR-PACKING1,BLOWN STRETCH FILM 18in X 1500'(TAPE TRANSPARENT A EMBALLER),CRATAGE,4,,,4,1,CONTAINEUR CHANTIER,XX,,,ULINE,,
LGOIR-PACKING2,"BANDING FILM 3"" X 1500'(TAPE TRANSPARENT A EMBALLER)",USINE,93,,,18,5.16666667,ETOPL,XX,,,N/A,,
LGOIR-PASTE18,LOCTITE MARINE GRADE ANTI-SEIZE 207ml,CHANTIER,89,,,6,14.8333333,E6R,XX,,,N/A,,
LGOIR-PLASTIC3,CORNER OF TRANSPARENT PLASTIC (11.875),CHANTIER,50,,,50,1,E6R,XX,,,N/A,,
18-COIP-013-XX-TR,CORNER OF TRANSPARENT PLASTIC (13.135) ,CHANTIER,997,,,600,1.66166667,E6R,XX,,,N/A,,
LGOIR-TAPE4,TAPE BLACK AND YELLOW (DO NOT TRESPASING,USINE,6,,,1,6,X,XX,,,N/A,,
LGOIR-LUBRICANT1,SOLID STICK CUTTING LUBRICANT COOL CUT,USINE,50,,,1,50,ETOPL,XX,,,N/A,,
LGOIR-PROTECTION7,EAR MUFF/COQUILLES D'OREILLES,USINE,6,,,1,6,X,XX,,,N/A,,
LGOIR-SCIE/SPARE1,"TURBO RIM FOR SMOOTH CUTS 5"" DIAMOND BLADE",CHANTIER,18,,,1,18,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-TOOL6,ANGLE DIE GRINDER/MEULEUSE,USINE,1,,,1,1,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-REVOLUTION /SPARE1,BEARING FLUSH TRIM BIT(FOR TOUPIE),USINE,4,,,1,4,X,XX,,,N/A,,
LGOIR-TOOL7,METAL COMBINATION SAQUARE,USINE,2,,,1,2,X,XX,,,N/A,,
LGOIR-TOOL8,DEAD BLOW HAMMER(MARTEAU ROUGE),USINE,11,,,1,11,ARMOIRE SANS CLE T1,XX,,,N/A,,
LGOIR-TOOL9,MARTEAU EN PLASTIC ORANGE,USINE,2,,,1,2,ARMOIRE SANS CLE T1,XX,,,N/A,,
LGOIR-TAPE5,DUCT TAPE GRIS 48mm,USINE,53,,,1,53,E5C,XX,,,FASTENAL,46104,
LGOIR-TOOL10,SNAP-OFF KNIFE/CUTEAU A LAME SECBLE,USINE,2,,,1,2,X,XX,,,N/A,,
LGOIR-LITTLEPIECETOOL1234,FRAISES 7/64,USINE,1,,,1,1,DESK,XX,,,N/A,,
LGOIR-PROTECTION8,EAR PLUGS,USINE,50,,,1,50,X,XX,,,N/A,,
LGOIR-SECURITY2,CADENAS/PADLOCKS 3KABLU/KEY2126,CHANTIER,20,,,1,20,X,XX,,,N/A,,
LGOIR-PACKING3,"2""HEAVY DUTY TAPE DISPENSER",USINE,6,,,1,6,ARMOIRE SANS CLE T1,XX,,,N/A,,
LGOIR-TAPE7,PAINTER'S TAPE FROG TAPE,USINE,8,,,1,8,E5L,XX,,,N/A,,
LGOIR-SCIE/SPARE2,CUT-OFF WHEEL/FREE CUT MEULE A TRANCONNER/DECOLLETAGE,CHANTIER,25,,,1,25,ARMOIRE AVEC CLE T2,XX,,,N/A,,
LGOIR-SCIE/SPARE3,"ZIP CUT 5"" X 3/64"" X 7/8 125 X 1.2 X 22,23 mm",CHANTIER,6,,,1,6,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-SCIE/SPARE4,"METAL CUT-OFF DIAMETER 4 1/2"" THICKNESS 1/16",CHANTIER,1,,,1,1,X,XX,,,N/A,,
LGOIR-SCIE/SPARE5,"BLACKSTONE CUTTING WHEEL 3"" X .040"" X 3/8"" 76 X 1 X 10 mm",CHANTIER,9,,,1,9,ARMOIRE AVEC CLE T2,XX,,,N/A,,
LGOIR-LITTLE PIECE7,CAL POUR VITRE,USINE,57,,,1,57,ARMOIRE SANS CLE T1,XX,,,N/A,,
LGOIR-PROTECTION9,HEARING  BAND WITH PLUG,USINE,36,,,1,36,X,XX,,,N/A,,
LGOIR-TOOL11,BENCH CLAMP,USINE,5,,,1,5,ARMOIRE SANS CLE T2,XX,,,N/A,,
LGOIR-PROTECTION /CLEANING10,SAFETY GLASS WIPES,USINE,720,,,120,6,X,XX,,,N/A,46105,
LGOIR-TAPE8,TAPE COLLANT POUR LEDS ROUGE,USINE,4,,,1,4,X,XX,,,N/A,,
LGOIR-TOOL/SPARE12,"STAPLES T50 1/2"" 12mm POUR AGRAFEUSE JAUNE",USINE,11250,,,1250,9,X,XX,,,Agrafbec,,
LGOIR-TOOL/SPARE13,LAME A EXACTEAU,USINE,210,,,1,210,ARMOIRE SANS CLE T1,XX,,,N/A,,
LGOIR-AIR/ACCESORY1,BLOW GUN,USINE,2,,,1,2,ARMOIRE AVEC CLE T4,XX,,,N/A,,
LGOIR-TOOL/SPARE14,"HACKSAW BLADE 12""",USINE,31,,,10,3.1,ARMOIRE SANS CLE T3,XX,,,N/A,,
LGOIR-TOOL/SPARE15,"HACKSAW BLADE 10""",USINE,2,,,1,2,ARMOIRE SANS CLE T3,XX,,,N/A,,
LGOIR-AIR/ACCESORY2,2 WAY MANIFOLD ASSEMBLY,USINE,2,,,1,2,X,XX,,,N/A,,
LGOIR-LUBRICANT2,HIGH TEMPERATURE LUB OIL,USINE,2,,,1,2,X,XX,,,N/A,,
LGOIR-MACHINERY/SPARE1,"LAME POUR SCIE A RUBAN 7'9""X3/8""",USINE,14,,,1,14,X,XX,,,N/A,,
LGOIR-PASTE19,LOCTITE MARINE GRADE ANTI-SEIZE 453.6ml,USINE,8,,,1,8,ETOPC,XX,,,N/A,,
LGOIR-DRILL1,"DRILL AND COUNTER SINK  7/64""/MECHE AVEC FRAISE",USINE,5,,,1,5,E6L,XX,,,N/A,,
LGOIR-DRILL2,"MECHE 7/64""",USINE,200,,,12,16.6666667,ARMOIRE AVEC CLE T2,XX,,,N/A,,
18-ROSE-FCI-40-40,ROSETTE FLORALE CARRE NATURELE 4 PATTES,CHANTIER,3150,,,450,7,"BOX 3(900), BOX 18 BIN 2",XX,,,DERO,46093,
18-ROSE-FCI-30-40,ROSETTE FLORALE CARRE NATURELE 3 PATTES,CHANTIER,2712,,,450,6.02666667,"BOX 3, BOX 9, BOX 18",XX,,,N/A,,
18-ROSE-FCI-20-40,ROSETTE FLORALE CARRE NATURELE 2 PATTES,CHANTIER,3239,,,450,7.19777778,"BOX 3, BOX 5, BOX 9,BOX 46",XX,,,N/A,,
18-ROSE-FCI-10-40,ROSETTE FLORALE CARRE NATURELE 1 PATTE,CHANTIER,3242,,,450,7.20444444,"BOX 5, BOX 7, BOX 9",XX,,,N/A,,
18-ROSE-FCI-00-40,ROSETTE FLORALE CARRE NATURELE 0 PATTES,CHANTIER,5795,,,450,12.8777778," BOX 5, BOX 7, BOX 35, BOX 36",XX,,,N/A,,
18-ROSE-FCI-05-40,ROSETTE FLORALE CARRE NATURELE CLE,CHANTIER,1775,,,450,3.94444444,"BOX 1 , BOX 2, BOX 4, BOX 6, BOX 18",XX,,,N/A,,
DIV-1F-3M/ 18-SPLT-1T3-3M-SE,SPLIT POUR TRANSFO PLUSIEURS SORTIES (1SPLIT=2SORTIES DE PLUS),CHANTIER/ELECTRIQUE,26,,,1,26,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-METAL3,"ROD S/S 1/2 x17""",CHANTIER,0,,,1,0,E3C,XX,,,N/A,,
LGOIR-METAL4,"ROD S/S 1/2 x 15""",CHANTIER,1,,,1,1,E3C,XX,,,N/A,,
LGOIR-METAL5,"ROD S/S 1/2 x 16""",CHANTIER,0,,,1,0,E3C,XX,,,N/A,,
LGOIR-METAL6,"ROD S/S 1/2 x 12""",CHANTIER,26,,,1,26,E3C,XX,,,N/A,,
LGOIR-METAL7,"ROD S/S 1/2 x 9""",CHANTIER,0,,,1,0,E3C,XX,,,N/A,,
LGOIR-METAL8,"ROD S/S 1/2 x 8""",CHANTIER,34,,,1,34,E3C,XX,,,N/A,,
LGOIR-METAL9,"ROD S/S 1/2 x 10""",CHANTIER,39,,,1,39,E3C,XX,,,N/A,,
LGOIR-METAL10,"ROD S/S 1/2 x145""",CHANTIER,0,,,1,0,A COTE DE L'ESCALIER,XX,,,N/A,,
LGOIR-METAL11,"ROD S/S 1/2 x 72""",CHANTIER,81,,,1,81,A COTE DE L'ESCALIER,XX,,,N/A,,
LGOIR-SCIE/SPARE6,"FINE FINISH BLADE/LAME DE FINITION FINE 10""",USINE,1,,,1,1,X,XX,,,N/A,,
LGOIR-METAL12,"ROD S/S 1/2 x 19""",CHANTIER,0,,,1,0,E3C,XX,,,N/A,,
18-ROSE-FCI-10-42,ROSETTE FLORALE CARRE INTERIEUR 1 PATTE FINI ETAIN,CHANTIER,1415,,,450,3.14444444,BOX 7,XX,,,N/A,,
18-ROSE-FCI-20-42,ROSETTE FLORALE CARRE INTERIEUR 2 PATTE FINI ETAIN,CHANTIER,698,,,450,1.55111111, BOX 14,XX,,,N/A,,
18-ROSE-FCI-30-42,ROSETTE FLORALE CARRE INTERIEUR 3 PATTE FINI ETAIN,CHANTIER,710,,,450,1.57777778,"BOX 7, BOX 14",XX,,,N/A,,
18-ROSE-FCI-40-42,ROSETTE FLORALE CARRE INTERIEUR 4 PATTE FINI ETAIN,CHANTIER,261,,,450,0.58, BOX 14,XX,,,N/A,,
18-ROSE-FCI-05-42,ROSETTE FLORALE CARRE INTERIEUR CLE FINI ETAIN,CHANTIER,215,,,450,0.47777778," BOX 4, BOX 14",XX,,,N/A,,
LGOIR-METAL13,"ROD S/S 1/2 x 5""",CHANTIER,0,,,1,0,E3C,XX,,,N/A,,
LGOIR-METAL14,ROULEAUX DE STRAP METAL 3/4 X 020 12 CL SKID (MODEL NUMBER S-826),CRATAGE,7,,,1,7,CRATAGE,XX,,,N/A,,
18-ROSE-FCI-20-05,ROSETTE FLORAL CARRE INTERIEUR CHAMPAGNE 2 PATTES,CHANTIER,96,,,450,0.21333333, BOX 3,XX,,,N/A,,
18-ROSE-FCI-40-05,ROSETTE FLORAL CARRE INTERIEUR CHAMPAGNE 4 PATTES,CHANTIER,43,,,450,0.09555556,BOX 3,XX,,,N/A,,
18-ROSE-PCI-00-40,ROSETTE PYRAMIDAL NATUREL 0 PATTES,CHANTIER,2750,,,450,6.11111111," BOX 1, BOX 10, BOX 11",XX,,,N/A,,
18-ROSE-PCI-00-41,ROSETTE PYRMIDAL 0 PATTES ANTIQUE BRONZE,CHANTIER,428,,,450,0.95111111,BOX 6,XX,,,N/A,,
18-ROSE-PCI-05-40,ROSETTE PYRAMIDAL NATUREL CLE,CHANTIER,6122,,,450,13.6044444,"BOX 1, BOX 2, BOX 6",XX,,,N/A,,
18-ROSE-PCI-05-41,ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE CLE,CHANTIER,110,,,450,0.24444444,BOX 4,XX,,,N/A,,
18-ROSE-PCI-05-42,ROSETTE PYRAMIDAL FINI ETAIN CLE,CHANTIER,622,,,450,1.38222222,BOX 8,XX,,,N/A,,
18-ROSE-PCI-10-40,ROSETTE PYRAMIDAL NATUREL 1 PATTE,CHANTIER,2638,,,450,5.86222222,"BOX 1, BOX 10",XX,,,N/A,,
18-ROSE-PCI-10-41,ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 1 PATTE,CHANTIER,424,,,450,0.94222222, BOX 6,XX,,,N/A,,
18-ROSE-PCI-10-42,ROSETTE PYRAMIDAL FINI ETAIN 1 PATTE,CHANTIER,547,,,450,1.21555556, BOX 8,XX,,,N/A,,
18-ROSE-PCI-20-40,ROSETTE PYRAMIDAL NATUREL 2 PATTES,CHANTIER,3413,,,450,7.58444444,"BOX 1, BOX 40, BOX 44",XX,,,N/A,,
18-ROSE-PCI-20-41 (E81012 2P),ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 2 PATTES,CHANTIER,5043,,,450,11.2066667,"BOX 6, BOX 12, BOX 35",XX,,,N/A,,
18-ROSE-PCI-20-42,ROSETTE PYRAMIDAL FINI ETAIN 2 PATTES,CHANTIER,945,,,450,2.1,"BOX 8, BOX 9, MON BURAEU",XX,,,N/A,,
18-ROSE-PCI-30-40,ROSETTE PYRAMIDAL NATUREL 3 PATTES,CHANTIER,2878,,,450,6.39555556,"BOX 1, BOX 6, BOX 10",XX,,,N/A,,
18-ROSE-PCI-30-41,ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 3 PATTES,CHANTIER,273,,,450,0.60666667,OUTSIDE BOX 6,XX,,,N/A,,
18-ROSE-PCI-30-42,ROSETTE PYRAMIDAL FINI ETAIN 3 PATTES,CHANTIER,497,,,450,1.10444444, BOX 8,XX,,,N/A,,
18-ROSE-PCI-40-40,ROSETTE PYRAMIDAL NATUREL 4 PATTES,CHANTIER,3382,,,450,7.51555556," BOX 1, BOX 40",XX,,,N/A,,
18-ROSE-PCI-40-41 (E81012 4P),ROSETTE PYRAMIDAL FINI ANTIQUE BRONZE 4 PATTES,CHANTIER,6155,,,450,13.6777778," BOX 17, BOX 34",XX,,,N/A,,
18-ROSE-PCI-40-42,ROSETTE PYRAMIDAL FINI ETAIN 4 PATTES,CHANTIER,235,,,450,0.52222222, BOX 8,XX,,,N/A,,
B455.40.30.N (2 PATTES AB),ROSETTE SPECIAL PESSANT FINI ANTIQUE BRONZE 2 PATTES,CHANTIER,454,,,450,1.00888889, BOX 11,XX,,,N/A,,
B455.40.40.N    (18-ROSE-FCI-05-41),ROSETTE FLORAL ANCIENE,CHANTIER,1051,,,450,2.33555556, BOX 4(1051),XX,,,N/A,,
B455.40.50.N,ROSETTE ANGULAR,CHANTIER,281,,,450,0.62444444, BOX 11,XX,,,N/A,,
B456.35.00.N,ROSETTE DE CRYPT TORCHE CARREE BRONZE,CHANTIER,509,,,450,1.13111111, BOX 4,XX,,,N/A,,
BJ1125 (E-81003),ROSETTE RONDE,CHANTIER,2097,,,1000,2.097,"BOX 4, CONTAINEUR CHANTIER",XX,,,N/A,,
BJ1128 (E-81011),ROSETTE RONDE ,CHANTIER,12580,,,1000,12.58,"BOX 4,  BOX 7, CONTAINEUR CHANTIER",XX,,,N/A,,
LGOIR-TAPE88101,ROULEAU DE TAPE BLEU DE LEDS,ELECTRIQUE,1,,,1,1,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-VISFIN Desormeau Vbpcz100075,"VIS A BOIS T. PLATE. PR. CARREE ZINC # 10-13 X 3/4""",FINITION,11330,,,6250,1.8128,E4C,XX,,,N/A,,
DR55.40.05 YVES LÉGARÉ,ROSETTE YVES LÉGARÉ,CHANTIER,1493,,,450,3.31777778, BOX 11,XX,,,N/A,,
DRB1012.10BRZ (C81012.1P),ROSETTE,CHANTIER,82,,,450,0.18222222,BOX 4,XX,,,N/A,,
DSUPPORTALU.   ,ROSETTE,CHANTIER,451,,,450,1.00222222, BOX 2,XX,,,N/A,,
DSUPPORTTYPE2.    ,ROSETTE SUPPORT,CHANTIER,432,,,450,0.96, BOX 2,XX,,,N/A,,
E81011.PV,ROSETTE DE CRYPT,CHANTIER,159,,,450,0.35333333, BOX 4,XX,,,N/A,,
SB81003,ROSETTE?,CHANTIER,1711,,,450,3.80222222, BOX 7,XX,,,N/A,,
LGOIR-WIRE1,ELECTRIQUE LLS,CHANTIER/ELECTRIQUE,0,,,1,0," BOX 15,  BOX 16, BOX 24, BOX 29",XX,,,N/A,,
LGOIR-REVOLUTION / SPARE2,DISQUE A ABRASIF 80+,USINE,50,,,50,1,"ARMOIRE AVEC CLE,DESK",XX,,,GRAINGER,,
LGOIR-SAFETY / TOOL16,KNEELING MAT,USINE,5,,,1,5,X,XX,,,N/A,,
LGOIR-PLASTIC / ACCESORY4,LITTLE BROWN PLASTIC PLUG,CHANTIER,933,,,993,0.93957704,E6R,XX,,,N/A,,
LGOIR-PLASTIC/ ACCESORY5,LITTLE BLACK PLASTIC PLUG,CHANTIER,8787,,,5000,1.7574,E6R,XX,,,N/A,,
LGOIR-PLASTIC / ACCESORY6,LITTLE GRAY PLASTIC PLUG,CHANTIER,950,,,950,1,E6R,XX,,,N/A,,
LGOIR-PLASTIC / ACCESORY7,LITTLE GREEN PLASTIC PLUG,CHANTIER,900,,,900,1,E6R,XX,,,N/A,,
LGOIR-PLASTIC / ACCESORY8,LITTLE RED PLASTIC PLUG,CHANTIER,1620,,,950,1.70526316,E6R,XX,,,N/A,,
LGOIR-PLASTIC/ ACCESORY9,DUCT TAPE GRIS 24mm ,USINE,6,,,1,6,E5C,XX,,,N/A,,
18-JUMP-COU-01-SE,"JUMPER COURT - 1""",CHANTIER/ELECTRIQUE,594,,,500,1.188,ARMOIRE DU M. ELECTRIQUE,XX,,,SEP,Waiting,
18-FOMT-14S-37-NO,"FOAMTAPE 1/4"" X 9/32 X 37.5'",EXTRUSION,109237,,,2400,45.5154167,E6C,XX,,,N/A,,
18-FDMD-008-20-SE /FD-8-20-B-MM,"BULLET CONNECTOR MOLEX COURT -8""",EXTRUSION/ELECTRIQUE,52,,,50,1.04,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
18-FDMD-024-20-SE/ FD-20-20-B-MM ,"BULLET CONNECTOR MOLEX LONG- 24""",FINITION/ELECTRIQUE,131,,,1,131,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-PROTECTION /PLASTIC11,HEADGEAR WITH FACESHIELD/CASQUE ET VISIERE,USINE,13,,,1,13,X,XX,,,N/A,,
LGOIR-PLASTIC10,CACHE FILS ROND 5',USINE/CHANTIER,18.6125,,,1,18.6125,X,XX,,,N/A,46097,
18-FILY-COU-04-NO,"FILS ""Y"" - 4""-6""- RONDELLE",CHANTIER/ELECTRIQUE,25,,,1,25,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
18-FILY-MED-12-NO,"FILS ""Y"" -12"" -12"" - NICHE CONCAVE OU DIAMANT",CHANTIER/ELECTRIQUE,95,,,1,95,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
18-FILY-LON-18-NO,"FILS ""Y"" -18""-34""-NICHE A COTE D'ACLOVE",CHANTIER/ELECTRIQUE,14,,,1,14,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
18-FDFF-012-18-SE/ FD-12S-18-MF-11,"CONNECTEUR VERTICAL MOLEX 11 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,84,,,1,84,ARMOIRE DU M. ELECTRIQUE,XX,,,SEP,46119,
18-FDMF-144-18-SE /FD-144-18-MM-MF,"LEAD MOLEX- 12'-0"" (144"")",CHANTIER,119,,,1,119,ARMOIRE DU M. ELECTRIQUE,XX,,,SEP,46119,
LGOIR-DRILL3,MECHE 29,USINE,39,,,1,39,ARMOIRE AVEC CLE,XX,,,N/A,,
18-FDFF-112-18-SE14,"CONNECTEUR VERTICAL MOLEX 14 SORTIES @12""",CHANTIER/ELECTRIQUE,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-WIRE2,CLASS 2 TRANSFORMER(PETITES BOITES BLANCHES),CHANTIER/ELECTRIQUE,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-PROTECTION /PLASTIC12,FACESHIELD/VISIERE,USINE,22,,,1,22,ARMOIRE EN BOIS,XX,,,N/A,,
LGOIR-METAL15,"ROD S/S 1/2"" X 11""",CHANTIER,3,,,1,3,E2C,XX,,,N/A,,
LGOIR-DRILL4,IMPACT BIT SQUARE SQ2,USINE,43,,,1,43,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-PINCE1,QUICK ADJUST WIRE STRIPPER,USINE,4,,,1,4,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-TAPE9,TAPE  DE ETIQUETE FRAGILE,USINE,1,,,1,1,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-LITT1251,LOCK WASHERS 3/4 RONDELLES RESSORT,CHANTIER,24,,,1,24,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,,,N/A,,
LGOIR-ACCESORY/SPARE,NUTSET WITH MAGNET 5/16 X 1-7/8,FINITION,17,,,1,17,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-PINCE2,PINCE A COUPER DES FILS/WIRE CUTTERS,USINE/ELECTRIQUE,4,,,1,4,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-PINCE3,"4-1/2"" LONG NOSE PLIER",USINE,1,,,1,1,ARMOIRE AVEC CLE T3,XX,,,N/A,,
LGOIR-DRILL/SPARE5,MECHE 7/32,USINE,24,,,1,24,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-TOOL17,DEBURRING SYSTEM,USINE,12,,,1,12,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-WIRE3,ANCIEN TRANSFO MARCUS MC150B 150VA 60Hz,ELECTRIQUE,3,,,1,3,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL18,GUN A SILICONE,USINE,2,,,1,2,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE6,IMPACT BIT SQUARE SQ3,USINE,42,,,2,21,ARMOIRE AVEC CLE,XX,,,N/A,,
18-BAKH-024-01,CROCHET DE ALUMINIUM,ASSEMBLAGE,1138,,,25,45.52,BOX 23,XX,,,MMS,46087,
18-FGRI-LON-MF-GR,ROULEAUX DE FILS ELECTRIQUE,USINE/ELECTRIQUE,104146,,,5905,17.6369179,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-WIRE5,"CONNECTEUR VERTICAL MOLEX  22 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,1,,,1,1,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
FD-125-18-MF-100/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 100 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,-0.88,,,1,-0.88,ARMOIRE DU M ELECTRIQUE,XX,,,SEP,,
LGOIR-LITTLE PIECE8 Desormeau 6scocn8320038,#8-32 UNC X 3/8 VIS D'ARRET A 6 P/C PTE CONIQUE NOIR,EXTRUSION,5000,,,1000,5,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-PROTECTION13,GANTS BLEU NITRILE/ BLUE NITRILE GLOVES MEDIUM,USINE,85,,,25,3.4,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-UNION-12-MM,"RALLONGE DE TRASNFO 12"" M-M",CHANTTIER/ELECTRIQUE,0,,,1,0,ARMOIRE DU M. ELECTRIQUE,XX,,,N/A,,
LGOIR-TOOL19,SILVER BLACK CENTER PUNCHWITH TIPS,USINE,3,,,1,3,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-GLUE1,WOOD GLUE- COLLE A BOIS 150 ML,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-GLUE2,SUPER GLUE - SUPER COLLE 20 ML,USINE,4,,,1,4,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-LITTLE PIECE9,"#8-32 UNC X 0.217"" SHORT LGT BRASS PLAIN (REPARATION D'EXTRUTION)",USINE/EXTRUTION,700,,,100,7,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE7,MECHE 1/8,USINE,0,,,1,0,DESK,XX,,,N/A,,
LGOIR-DRILL/SPARE8,MECHE LONG 1/4,USINE,3,,,1,3,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE9,MECHE 10-24 UNC H3 2 FLUTE DRILL'N'TAP ,USINE,30,,,1,30,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE10,MECHE BLUE WIZARD 10-24,USINE,5,,,1,5,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE11,MECHE ANSI STUB DRILL # 25,USINE,26,,,1,26,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE12,TAP MECHE BLUE MERLIN 8-32,USINE,24,,,1,24,ARMOIRE SANS CLE,XX,,,McMASTER,46093,
LGOIR-DRILL/SPARE13,TAP MECHE BLUE MERLIN 10-24,USINE,19,,,1,19,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE14,MECHE #8-32 UNC H3 2 FLUTE DRILL'N'TAP,USINE,20,,,1,20,ARMOIRE AVEC CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE15,MECHE ANSI STUB DRILL # 29,USINE,42,,,1,42,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE16,"HSS SPIRAL POINT TAP 1/4""-20",USINE,6,,,1,6,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE17,TAP MECHE BLUE MERLIN 1/4-20,USINE,4,,,1,4,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-SCIE/SPARE7,BI-METAL JIGSAW BLADES/LAMES DE SCIE SAUTEOUSE BIMETALLIQUES,USINE,3,,,1,3,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE18,# 29 HSS JOBBER DRILL(PLUS LONG),USINE,2,,,1,2,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE19,5/16 HSS JOBBER DRILL SPLIT POINT BLACK AND GOLD,USINE,10,,,1,10,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE20,MECHE 27,USINE,12,,,1,12,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE21,HSS DRILL FORET 7/32,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE22,"MECHE BOSCH 1/8"" GOLD",USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL/SPARE23,"MECHE BOSCH 5/64""",USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL20,ALLEN KEYS,USINE,9,,,1,9,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-DRILL24,COBALT JOBBER DRILL SPLIT POINT BLACK AND GOLD # 36,USINE,0,,,1,0,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-SPARE1,SNAP-OFF BLADES/LAMES SECABLES,USINE,180,,,20,9,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL21,TAPE MESURE & SPEED TAPE,USINE,4,,,1,4,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL22,SUCE NOIR(VENTOUSE),USINE,46,,,1,46,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL23,WIRE STRIPPING TOOL,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
LGOIR-TOOL24,SNAP RING PLIERS SET/JEU DE PINCES POUR ANNEAUX DE RETENU,USINE,1,,,1,1,ARMOIRE SANS CLE,XX,,,N/A,,
