Codigo,Descripcion,Categoria,StockPrincipal,StockProduccion,StockTransformacion,CantidadPorCaja,NumeroCajas,Ubicacion,FechaExpedicion,DiasParaExpirar,FechaExpiracion,Proveedor,UltimaOrden,Detalles,Id,StockMinimo,StockMaximo,VidaUtilMeses,Notas,LotesJson
LGOIR-PROTECTION /PLASTIC11,HEADGEAR WITH FACESHIELD/CASQUE ET VISIERE,USINE,13,0,0,1,13,X,XX,0,,N/A,,,1389,5,100,0,,[]
LGOIR-PLASTIC10,CACHE FILS ROND 5',USINE/CHANTIER,18.6125,0,0,1,18.6125,X,XX,0,,N/A,46097,,1390,5,100,0,,[]
18-FILY-COU-04-NO,"FILS ""Y"" - 4""-6""- RONDELLE",CHANTIER/ELECTRIQUE,25,0,0,1,25,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1391,5,100,0,,[]
18-FILY-MED-12-NO,"FILS ""Y"" -12"" -12"" - NICHE CONCAVE OU DIAMANT",CHANTIER/ELECTRIQUE,95,0,0,1,95,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1392,5,100,0,,[]
18-FILY-LON-18-NO,"FILS ""Y"" -18""-34""-NICHE A COTE D'ACLOVE",CHANTIER/ELECTRIQUE,14,0,0,1,14,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1393,5,100,0,,[]
18-FDFF-012-18-SE/ FD-12S-18-MF-11,"CONNECTEUR VERTICAL MOLEX 11 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,84,0,0,1,84,ARMOIRE DU M. ELECTRIQUE,XX,0,,SEP,46119,,1394,5,100,0,,[]
18-FDMF-144-18-SE /FD-144-18-MM-MF,"LEAD MOLEX- 12'-0"" (144"")",CHANTIER,119,0,0,1,119,ARMOIRE DU M. ELECTRIQUE,XX,0,,SEP,46119,,1395,5,100,0,,[]
LGOIR-DRILL3,MECHE 29,USINE,39,0,0,1,39,ARMOIRE AVEC CLE,XX,0,,N/A,,,1396,5,100,0,,[]
18-FDFF-112-18-SE14,"CONNECTEUR VERTICAL MOLEX 14 SORTIES @12""",CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1397,5,100,0,,[]
LGOIR-WIRE2,CLASS 2 TRANSFORMER(PETITES BOITES BLANCHES),CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1398,5,100,0,,[]
LGOIR-PROTECTION /PLASTIC12,FACESHIELD/VISIERE,USINE,22,0,0,1,22,ARMOIRE EN BOIS,XX,0,,N/A,,,1399,5,100,0,,[]
LGOIR-METAL15,"ROD S/S 1/2"" X 11""",CHANTIER,3,0,0,1,3,E2C,XX,0,,N/A,,,1400,5,100,0,,[]
LGOIR-DRILL4,IMPACT BIT SQUARE SQ2,USINE,43,0,0,1,43,ARMOIRE AVEC CLE,XX,0,,N/A,,,1401,5,100,0,,[]
LGOIR-PINCE1,QUICK ADJUST WIRE STRIPPER,USINE,4,0,0,1,4,ARMOIRE AVEC CLE,XX,0,,N/A,,,1402,5,100,0,,[]
LGOIR-TAPE9,TAPE  DE ETIQUETE FRAGILE,USINE,1,0,0,1,1,ARMOIRE AVEC CLE,XX,0,,N/A,,,1403,5,100,0,,[]
LGOIR-LITT1251,LOCK WASHERS 3/4 RONDELLES RESSORT,CHANTIER,24,0,0,1,24,BOITE TRANSPARENT PLASTIQUE CONT CHANTIER,XX,0,,N/A,,,1404,5,100,0,,[]
LGOIR-ACCESORY/SPARE,NUTSET WITH MAGNET 5/16 X 1-7/8,FINITION,17,0,0,1,17,ARMOIRE AVEC CLE,XX,0,,N/A,,,1405,5,100,0,,[]
LGOIR-PINCE2,PINCE A COUPER DES FILS/WIRE CUTTERS,USINE/ELECTRIQUE,4,0,0,1,4,ARMOIRE AVEC CLE,XX,0,,N/A,,,1406,5,100,0,,[]
LGOIR-PINCE3,"4-1/2"" LONG NOSE PLIER",USINE,1,0,0,1,1,ARMOIRE AVEC CLE T3,XX,0,,N/A,,,1407,5,100,0,,[]
LGOIR-DRILL/SPARE5,MECHE 7/32,USINE,24,0,0,1,24,ARMOIRE AVEC CLE,XX,0,,N/A,,,1408,5,100,0,,[]
LGOIR-TOOL17,DEBURRING SYSTEM,USINE,12,0,0,1,12,ARMOIRE AVEC CLE,XX,0,,N/A,,,1409,5,100,0,,[]
LGOIR-WIRE3,ANCIEN TRANSFO MARCUS MC150B 150VA 60Hz,ELECTRIQUE,3,0,0,1,3,ARMOIRE SANS CLE,XX,0,,N/A,,,1410,5,100,0,,[]
LGOIR-TOOL18,GUN A SILICONE,USINE,2,0,0,1,2,ARMOIRE AVEC CLE,XX,0,,N/A,,,1411,5,100,0,,[]
LGOIR-DRILL/SPARE6,IMPACT BIT SQUARE SQ3,USINE,42,0,0,2,21,ARMOIRE AVEC CLE,XX,0,,N/A,,,1412,5,100,0,,[]
18-BAKH-024-01,CROCHET DE ALUMINIUM,ASSEMBLAGE,1138,0,0,25,45.52,BOX 23,XX,0,,MMS,46087,,1413,5,100,0,,[]
18-FGRI-LON-MF-GR,ROULEAUX DE FILS ELECTRIQUE,USINE/ELECTRIQUE,104146,0,0,5905,17.6369179,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1414,5,100,0,,[]
LGOIR-WIRE5,"CONNECTEUR VERTICAL MOLEX  22 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,1,0,0,1,1,ARMOIRE DU M. ELECTRIQUE,XX,0,,N/A,,,1415,5,100,0,,[]
FD-125-18-MF-100/ 18-FDFF-112-18-SE,"CONNECTEUR VERTICAL MOLEX 100 SORTIES @12""(HARNESS)",CHANTIER/ELECTRIQUE,-0.88,0,0,1,-0.88,ARMOIRE DU M ELECTRIQUE,XX,0,,SEP,,,1416,5,100,0,,[]
